"Name","UAE Routing Code Agent ID","Bank Identifier Code","Country"
"First Gulf Exchange Centre- Dubai","425410101","","United Arab Emirates"
"Future Exchange","530510101","","United Arab Emirates"
"GCC EXCHANGE","930110101","","United Arab Emirates"
"Global Exchange","429610101","","United Arab Emirates"
"Global Exchange","730310101","","United Arab Emirates"
"Gomti Exchange - LLC. - Dubai","325510101","","United Arab Emirates"
"Gulf Express Exchange- Dubai","225610101","","United Arab Emirates"
"Gulf Int'l Exchange Co.-LLC. - Dubai","125710101","","United Arab Emirates"
"HABIB BANK LTD.","102820111","","United Arab Emirates"
"HABIB BANK ZURICH","302920101","","United Arab Emirates"
"HSBC","302020120","","United Arab Emirates"
"HSBC Financial Services","331010101","","United Arab Emirates"
"Habib Exchange Co. LLC. - Sharjah","025810101","","United Arab Emirates"
"Hadi Express Exchange- Dubai","925910101","","United Arab Emirates"
"Harib Sultan Exchange-Abu Dhabi","126010101","","United Arab Emirates"
"Horizon Exchange - Dubai","026110101","","United Arab Emirates"
"INVEST BANK","503030102","","United Arab Emirates"
"International Developmentn Exchange-Dubai","926210101","","United Arab Emirates"
"JANATA BANK","103110110","","United Arab Emirates"
"Jumana Exchange Est. - Dubai","826310101","","United Arab Emirates"
"Kanoo Exchange- Dubai","726410101","","United Arab Emirates"
"Khalil Al Fardan Exchange- Dubai","626510101","","United Arab Emirates"
"Khalili Exchange Co. LLC. - Dubai","526610101","","United Arab Emirates"
"LLOYDS BANK","303220101","","United Arab Emirates"
"LULU EXCHANGE","931410101","","United Arab Emirates"
"Lari Exchange Est-Abu Dhabi","426710101","","United Arab Emirates"
"Lee La Megh Exchange LLC- Dubai","326810101","","United Arab Emirates"
"MASHREQ BANK","203320101","","United Arab Emirates"
"Malik Exchange-Abu Dhabi","226910101","","United Arab Emirates"
"Multinet Trust Exchange - LLC. - Dubai","427010101","","United Arab Emirates"
"NAT. BANK OF ABU DHABI","603510102","","United Arab Emirates"
"NAT. BANK OF BAHRAIN","203610101","","United Arab Emirates"
"NAT. BANK OF DUBAI","302620122","","United Arab Emirates"
"NAT. BANK OF OMAN","903910101","","United Arab Emirates"
"NAT. BANK OF SHJ","404130101","","United Arab Emirates"
"NAT. BANK OF UAQ","104251001","","United Arab Emirates"
"NAT. BK OF KUWAIT","505620101","","United Arab Emirates"
"NAT.BANK OF FUJAIRAH","503870102","","United Arab Emirates"
"NOOR ISLAMIC BK","905220101","","United Arab Emirates"
"Nanikdas Nathoomal Exchange Co. LLC- Dub","327110101","","United Arab Emirates"
"Naser Khoory Exchange Est. - Abu Dhabi","227210101","","United Arab Emirates"
"Nasim Al Barari Exchange","430610101","","United Arab Emirates"
"National Bank of Dubai","302620122","EBILAEADXXX","United Arab Emirates"
"National Exchange Co.-Abu Dhabi","127310101","","United Arab Emirates"
"Oasis Exchange, Al Ain","027410101","","United Arab Emirates"
"Orient Exchange Co.- LLC- Dubai","927510101","","United Arab Emirates"
"Pacific Exchange- Dubai","827610101","","United Arab Emirates"
"RAK BANK","604060101","","United Arab Emirates"
"ROYAL BANK OF SCOTLAND","400220101","","United Arab Emirates"
"Redha Al Ansari Exchange Est. - Dubai","727710101","","United Arab Emirates"
"Reems Exchange- Dubai","627810101","","United Arab Emirates"
"Royal Exchange Co. LLC","229810101","","United Arab Emirates"
"SAMBA","605520101","","United Arab Emirates"
"SEIDCO","240510101","","United Arab Emirates"
"SHARAF EXCHANGE","031310101","","United Arab Emirates"
"STANDARD CHARTERED","504420120","","United Arab Emirates"
"Sa'ad Exchange-Fujairah","527910101","","United Arab Emirates"
"Sabah Exchange-Sharjah","728010101","","United Arab Emirates"
"Sajwani Exchange- Dubai","628110101","","United Arab Emirates"
"Salim Exchange-Sharjah","528210101","","United Arab Emirates"
"Sana'a Exchange- Dubai","428310101","","United Arab Emirates"
"Sawan Exchange Co. - LLC. - Dubai","328410101","","United Arab Emirates"
"Shaheen Money Exchange LLC. - Dubai","228510101","","United Arab Emirates"
"Sharjah International ExchangeSharjah","128610101","","United Arab Emirates"
"Tabra & Al Nebal Exchange - Dubai","028710101","","United Arab Emirates"
"Tahir Exchange Est. - Dubai","928810101","","United Arab Emirates"
"Taymour & Abou Harb Exchange Co. LLC. -Sharjah","828910101","","United Arab Emirates"
